0 0 18 0 18 0 0.0555556 0.0570779
0 1 10 0 10 0 0 0
0 2 8 2 8 2 0.25 0.153093
0 3 13 3 13 3 0.230769 0.116855
0 4 3 0 3 0 0 0
0 5 3 0 3 0 0.333333 0.3849
0 6 2 0 2 0 0 0
0 7 0 0 0 0 -nan -nan
0 8 5 2 5 2 0.4 0.219089
0 9 1 0 1 0 0 0
0 10 0 0 0 0 -nan -nan
0 11 0 0 0 0 -nan -nan
0 12 0 0 0 0 -nan -nan
0 13 0 0 0 0 -nan -nan
0 14 0 0 0 0 -nan -nan
0 15 0 0 0 0 -nan -nan
0 16 0 0 0 0 -nan -nan
0 17 0 0 0 0 -nan -nan
0 18 0 0 0 0 -nan -nan
0 19 0 0 0 0 -nan -nan
0 20 0 0 0 0 -nan -nan
1 0 15 0 15 0 0 0
1 1 11 0 11 0 0 0
1 2 14 4 14 4 0.285714 0.120736
1 3 15 4 15 4 0.266667 0.11418
1 4 9 0 9 0 0 0
1 5 7 2 7 2 0.285714 0.170747
1 6 0 0 0 0 -nan -nan
1 7 2 1 2 1 0.5 0.353553
1 8 2 1 2 1 0.5 0.353553
1 9 0 0 0 0 -nan -nan
1 10 0 0 0 0 -nan -nan
1 11 0 0 0 0 -nan -nan
1 12 0 0 0 0 -nan -nan
1 13 0 0 0 0 -nan -nan
1 14 0 0 0 0 -nan -nan
1 15 0 0 0 0 -nan -nan
1 16 0 0 0 0 -nan -nan
1 17 0 0 0 0 -nan -nan
1 18 0 0 0 0 -nan -nan
1 19 0 0 0 0 -nan -nan
1 20 0 0 0 0 -nan -nan
2 0 33 0 33 0 0 0
2 1 30 5 30 5 0.166667 0.0680414
2 2 23 0 23 0 0 0
2 3 18 4 18 4 0.277778 0.113402
2 4 17 5 17 5 0.294118 0.11051
2 5 5 0 5 0 0 0
2 6 4 1 4 1 0.25 0.216506
2 7 3 1 3 1 0.333333 0.272166
2 8 3 0 3 0 0 0
2 9 2 0 2 0 0 0
2 10 1 1 1 1 1 0
2 11 0 0 0 0 -nan -nan
2 12 0 0 0 0 -nan -nan
2 13 0 0 0 0 -nan -nan
2 14 0 0 0 0 -nan -nan
2 15 0 0 0 0 -nan -nan
2 16 0 0 0 0 -nan -nan
2 17 0 0 0 0 -nan -nan
2 18 0 0 0 0 -nan -nan
2 19 0 0 0 0 -nan -nan
2 20 0 0 0 0 -nan -nan
3 0 69 3 69 3 0.0434783 0.0245504
3 1 88 2 88 2 0.0227273 0.0158869
3 2 48 14 48 14 0.291667 0.0656057
3 3 46 10 46 10 0.217391 0.0608155
3 4 31 8 31 8 0.290323 0.0851499
3 5 24 4 24 4 0.166667 0.0760726
3 6 11 1 11 1 0.0909091 0.0866784
3 7 7 0 7 0 0 0
3 8 7 1 7 1 0.142857 0.13226
3 9 1 0 1 0 0 0
3 10 1 0 1 0 0 0
3 11 0 0 0 0 -nan -nan
3 12 0 0 0 0 -nan -nan
3 13 0 0 0 0 -nan -nan
3 14 0 0 0 0 -nan -nan
3 15 0 0 0 0 -nan -nan
3 16 0 0 0 0 -nan -nan
3 17 0 0 0 0 -nan -nan
3 18 0 0 0 0 -nan -nan
3 19 0 0 0 0 -nan -nan
3 20 0 0 0 0 -nan -nan
4 0 129 4 129 4 0.0310078 0.0152616
4 1 114 8 114 8 0.0701754 0.0239244
4 2 91 18 91 18 0.197802 0.0417576
4 3 79 16 79 16 0.202532 0.0452157
4 4 49 8 49 8 0.163265 0.0528011
4 5 40 6 40 6 0.15 0.0564579
4 6 26 6 26 6 0.230769 0.0826286
4 7 12 2 12 2 0.166667 0.107583
4 8 10 2 10 2 0.3 0.164317
4 9 4 1 4 1 0.25 0.216506
4 10 5 0 5 0 0 0
4 11 0 0 0 0 -nan -nan
4 12 0 0 0 0 -nan -nan
4 13 0 0 0 0 -nan -nan
4 14 0 0 0 0 -nan -nan
4 15 0 0 0 0 -nan -nan
4 16 0 0 0 0 -nan -nan
4 17 0 0 0 0 -nan -nan
4 18 0 0 0 0 -nan -nan
4 19 0 0 0 0 -nan -nan
4 20 0 0 0 0 -nan -nan
5 0 160 1 160 1 0.00625 0.00623044
5 1 178 12 178 12 0.0674157 0.0187938
5 2 111 13 111 13 0.117117 0.0305211
5 3 87 12 87 12 0.137931 0.0369694
5 4 69 10 69 10 0.144928 0.0423792
5 5 32 4 32 4 0.15625 0.066521
5 6 31 4 31 4 0.129032 0.0602101
5 7 20 3 20 3 0.25 0.108972
5 8 11 6 11 6 0.636364 0.177638
5 9 10 1 10 1 0.1 0.0948683
5 10 3 0 3 0 0 0
5 11 0 0 0 0 -nan -nan
5 12 0 0 0 0 -nan -nan
5 13 0 0 0 0 -nan -nan
5 14 0 0 0 0 -nan -nan
5 15 0 0 0 0 -nan -nan
5 16 0 0 0 0 -nan -nan
5 17 0 0 0 0 -nan -nan
5 18 0 0 0 0 -nan -nan
5 19 0 0 0 0 -nan -nan
5 20 0 0 0 0 -nan -nan
6 0 273 2 273 2 0.00732601 0.00516126
6 1 258 14 258 14 0.0581395 0.0146285
6 2 222 20 222 20 0.0990991 0.0202534
6 3 147 26 147 26 0.176871 0.0314705
6 4 98 21 98 21 0.214286 0.0414492
6 5 80 20 80 20 0.275 0.0516146
6 6 50 7 50 7 0.14 0.0490714
6 7 23 5 23 5 0.217391 0.0860061
6 8 16 2 16 2 0.125 0.0826797
6 9 16 3 16 3 0.1875 0.0975781
6 10 4 0 4 0 0 0
6 11 0 0 0 0 -nan -nan
6 12 0 0 0 0 -nan -nan
6 13 0 0 0 0 -nan -nan
6 14 0 0 0 0 -nan -nan
6 15 0 0 0 0 -nan -nan
6 16 0 0 0 0 -nan -nan
6 17 0 0 0 0 -nan -nan
6 18 0 0 0 0 -nan -nan
6 19 0 0 0 0 -nan -nan
6 20 0 0 0 0 -nan -nan
7 0 204 4 204 4 0.0196078 0.00970733
7 1 176 7 176 7 0.0397727 0.0147307
7 2 146 16 146 16 0.109589 0.0258525
7 3 92 10 92 10 0.108696 0.0324508
7 4 69 11 69 11 0.15942 0.0440694
7 5 50 8 50 8 0.16 0.0518459
7 6 33 9 33 9 0.272727 0.0775275
7 7 15 2 15 2 0.266667 0.133333
7 8 9 3 9 3 0.333333 0.157135
7 9 9 0 9 0 0 0
7 10 5 0 5 0 0 0
7 11 0 0 0 0 -nan -nan
7 12 0 0 0 0 -nan -nan
7 13 0 0 0 0 -nan -nan
7 14 0 0 0 0 -nan -nan
7 15 0 0 0 0 -nan -nan
7 16 0 0 0 0 -nan -nan
7 17 0 0 0 0 -nan -nan
7 18 0 0 0 0 -nan -nan
7 19 0 0 0 0 -nan -nan
7 20 0 0 0 0 -nan -nan
8 0 250 2 250 2 0.008 0.00563418
8 1 229 12 229 12 0.0524017 0.0147254
8 2 185 11 185 11 0.0594595 0.0173865
8 3 130 14 130 14 0.107692 0.027188
8 4 85 18 85 18 0.211765 0.0443144
8 5 53 9 53 9 0.188679 0.0549784
8 6 43 13 43 13 0.302326 0.0700373
8 7 23 3 23 3 0.130435 0.0702237
8 8 18 2 18 2 0.111111 0.0740741
8 9 16 0 16 0 0 0
8 10 1 1 1 1 1 0
8 11 0 0 0 0 -nan -nan
8 12 0 0 0 0 -nan -nan
8 13 0 0 0 0 -nan -nan
8 14 0 0 0 0 -nan -nan
8 15 0 0 0 0 -nan -nan
8 16 0 0 0 0 -nan -nan
8 17 0 0 0 0 -nan -nan
8 18 0 0 0 0 -nan -nan
8 19 0 0 0 0 -nan -nan
8 20 0 0 0 0 -nan -nan
